[H[2J[3Jx: 100, y: 0, z:0
x: 58.83182, y: 10.373638, z:-28.19078
x: 61.289936, y: 10.80707, z:-28.977776
x: 63.806244, y: 11.250762, z:-29.544233
x: 66.361595, y: 11.70134, z:-29.885841
x: 68.93654, y: 12.155373, z:-30
x: 71.51149, y: 12.6094055, z:-29.885841
x: 74.06684, y: 13.059982, z:-29.544231
x: 76.58315, y: 13.503676, z:-28.977774
x: 79.04127, y: 13.937108, z:-28.190779
x: 81.42247, y: 14.356978, z:-27.189234
x: 83.70866, y: 14.760096, z:-25.980762
x: 85.882416, y: 15.143387, z:-24.574564
x: 87.9272, y: 15.503939, z:-22.981335
x: 89.82746, y: 15.839005, z:-21.213207
x: 91.56873, y: 16.146038, z:-19.283632
x: 93.13775, y: 16.422699, z:-17.207296
x: 94.52259, y: 16.666883, z:-15.000006
x: 95.71271, y: 16.876734, z:-12.678554
x: 96.69904, y: 17.05065, z:-10.260611
x: 97.47407, y: 17.18731, z:-7.7645783
x: 98.03193, y: 17.285675, z:-5.2094536
x: 98.36835, y: 17.344994, z:-2.6146808
x: 98.480774, y: 17.364819, z:0.0000052453665
x: 96.59258, y: 25.881905, z:0
x: 96.482315, y: 25.852358, z:2.6146722
x: 96.15234, y: 25.763945, z:5.2094455
x: 95.60519, y: 25.617332, z:7.764571
x: 94.84501, y: 25.413645, z:10.260604
x: 93.87759, y: 25.154425, z:12.678548
x: 92.71029, y: 24.841648, z:15
x: 91.35201, y: 24.477697, z:17.207294
x: 89.813065, y: 24.06534, z:19.283627
x: 88.10519, y: 23.607714, z:21.213203
x: 86.24136, y: 23.108303, z:22.981333
x: 84.23577, y: 22.570908, z:24.574562
x: 82.10369, y: 21.999619, z:25.980762
x: 79.861336, y: 21.39878, z:27.189234
x: 77.52579, y: 20.772972, z:28.190779
x: 75.11481, y: 20.126953, z:28.977774
x: 72.64675, y: 19.465637, z:29.544231
x: 70.14039, y: 18.794062, z:29.885841
x: 67.61481, y: 18.117332, z:30
x: 65.08923, y: 17.440607, z:29.885841
x: 62.58287, y: 16.76903, z:29.544231
x: 60.114807, y: 16.107714, z:28.977774
x: 57.703823, y: 15.461693, z:28.190779
x: 55.368267, y: 14.835883, z:27.189232
x: 53.12592, y: 14.235047, z:25.980762
x: 50.993835, y: 13.663757, z:24.57456
x: 48.98825, y: 13.126362, z:22.981333
x: 47.124428, y: 12.626952, z:21.213203
x: 45.416546, y: 12.169327, z:19.283628
x: 43.8776, y: 11.7569685, z:17.207294
x: 42.519318, y: 11.393017, z:15.000002
x: 41.352028, y: 11.080242, z:12.67855
x: 40.384605, y: 10.821022, z:10.260607
x: 39.624424, y: 10.617332, z:7.764574
x: 39.07727, y: 10.470723, z:5.209449
x: 38.747303, y: 10.382308, z:2.6146765
x: 38.63703, y: 10.352762, z:-0.0000026226833
x: 38.747303, y: 10.382308, z:-2.6146743
x: 39.07727, y: 10.470723, z:-5.209447
x: 39.624424, y: 10.617332, z:-7.764572
x: 40.384605, y: 10.821022, z:-10.260605
x: 41.352028, y: 11.080242, z:-12.678548
x: 42.519318, y: 11.393017, z:-14.999999
x: 43.8776, y: 11.7569685, z:-17.207293
x: 45.416542, y: 12.169326, z:-19.283627
x: 47.124428, y: 12.626952, z:-21.213202
x: 48.98826, y: 13.126365, z:-22.981337
x: 50.99384, y: 13.663758, z:-24.574564
x: 53.125923, y: 14.235048, z:-25.980762
x: 55.368275, y: 14.835885, z:-27.189234
x: 57.703827, y: 15.461694, z:-28.19078
x: 60.11481, y: 16.107716, z:-28.977776
x: 62.58287, y: 16.76903, z:-29.544233
x: 65.08923, y: 17.440607, z:-29.885841
x: 67.61481, y: 18.117332, z:-30
